,position,parameter,mean (+/- std)
0,Abd90ER,P1,49 (16)
1,Abd90ER,P2,173 (38)
2,Abd90ER,P3,71 (20)
3,Abd90ER,P4,431 (315)
4,Abd90ER,P5,1327 (700)
5,Abd90ER,P6,-267 (239)
6,Abd90ER,P7,60 (14)
7,Abd90IR,P1,55 (16)
8,Abd90IR,P2,181 (30)
9,Abd90IR,P3,81 (17)
10,Abd90IR,P4,389 (241)
11,Abd90IR,P5,1245 (545)
12,Abd90IR,P6,-283 (357)
13,Abd90IR,P7,66 (16)
14,Flex180ER,P1,53 (14)
15,Flex180ER,P2,166 (42)
16,Flex180ER,P3,59 (20)
17,Flex180ER,P4,314 (202)
18,Flex180ER,P5,1071 (475)
19,Flex180ER,P6,-356 (296)
20,Flex180ER,P7,66 (16)
21,Flex90ER,P1,61 (17)
22,Flex90ER,P2,192 (30)
23,Flex90ER,P3,54 (20)
24,Flex90ER,P4,362 (239)
25,Flex90ER,P5,1157 (560)
26,Flex90ER,P6,-292 (309)
27,Flex90ER,P7,77 (25)
28,Flex90IR,P1,55 (12)
29,Flex90IR,P2,177 (42)
30,Flex90IR,P3,59 (18)
31,Flex90IR,P4,409 (232)
32,Flex90IR,P5,1283 (539)
33,Flex90IR,P6,-437 (445)
34,Flex90IR,P7,67 (18)
35,Ref,P1,62 (17)
36,Ref,P2,185 (36)
37,Ref,P3,75 (16)
38,Ref,P4,550 (317)
39,Ref,P5,1659 (690)
40,Ref,P6,-467 (474)
41,Ref,P7,81 (20)
